id,eval_d,score
0,style,4.0
0,style,0.125
0,style,2.0
0,style,4.0
0,style,4.0
0,style,4.0
0,style,4.5
0,style,4.0
0,style,4.0
0,style,4.5
0,style,4.0
0,content,4.0
0,content,4.5
0,content,5.0
0,content,5.0
0,content,5.0
0,content,1.0
0,content,5.0
0,content,5.0
0,content,3.0
0,content,2.0
0,content,5.0
0,fluency,1.0
0,fluency,4.5
0,fluency,4.5
0,fluency,4.5
0,fluency,0.875
0,fluency,5.0
0,fluency,4.5
0,fluency,4.5
0,fluency,4.0
0,fluency,4.5
0,fluency,4.0
1,style,4.0
1,style,0.333
1,style,4.5
1,style,4.0
1,style,5.0
1,style,4.0
1,style,4.0
1,style,4.0
1,style,4.0
1,style,5.0
1,style,4.0
1,content,4.0
1,content,3.5
1,content,5.0
1,content,4.5
1,content,4.0
1,content,4.0
1,content,4.0
1,content,4.0
1,content,2.0
1,content,2.0
1,content,4.5
1,fluency,0.0
1,fluency,4.5
1,fluency,4.5
1,fluency,4.5
1,fluency,0.875
1,fluency,4.0
1,fluency,4.0
1,fluency,4.0
1,fluency,3.0
1,fluency,4.5
1,fluency,4.0
2,style,4.0
2,style,0.714
2,style,4.5
2,style,4.0
2,style,4.5
2,style,4.5
2,style,4.0
2,style,4.0
2,style,4.0
2,style,4.5
2,style,4.0
2,content,4.0
2,content,3.5
2,content,4.0
2,content,4.5
2,content,4.0
2,content,4.0
2,content,2.0
2,content,2.5
2,content,2.0
2,content,2.0
2,content,4.5
2,fluency,0.571
2,fluency,4.5
2,fluency,4.5
2,fluency,4.5
2,fluency,0.875
2,fluency,4.0
2,fluency,4.5
2,fluency,4.0
2,fluency,2.0
2,fluency,4.5
2,fluency,4.0
3,style,4.0
3,style,0.857
3,style,4.5
3,style,4.0
3,style,4.0
3,style,4.5
3,style,4.5
3,style,4.0
3,style,4.0
3,style,4.5
3,style,4.0
3,content,4.0
3,content,3.5
3,content,4.0
3,content,4.5
3,content,4.0
3,content,4.0
3,content,4.0
3,content,4.0
3,content,2.0
3,content,2.5
3,content,4.5
3,fluency,0.857
3,fluency,4.5
3,fluency,4.5
3,fluency,4.5
3,fluency,0.875
3,fluency,4.0
3,fluency,4.5
3,fluency,4.5
3,fluency,4.0
3,fluency,4.5
3,fluency,4.0
4,style,4.0
4,style,0.857
4,style,4.5
4,style,4.0
4,style,4.0
4,style,4.0
4,style,4.0
4,style,4.0
4,style,4.0
4,style,4.5
4,style,4.0
4,content,4.0
4,content,2.5
4,content,5.0
4,content,4.0
4,content,4.0
